地图号,地图名,点序号,列,行,类型,跟随1,跟随2,跟随3
249,誘いの緑地 诱惑的绿地,4,12,10,5(刷怪旋涡),5,a,
249,誘いの緑地 诱惑的绿地,5,8,5,1f(采集点),4f,6,
249,誘いの緑地 诱惑的绿地,6,c,b,1f(采集点),4f,5,
249,誘いの緑地 诱惑的绿地,7,12,c,1f(采集点),4f,6,
249,誘いの緑地 诱惑的绿地,8,4,c,1f(采集点),4f,7,
249,誘いの緑地 诱惑的绿地,9,3,8,20(挖掘点),4f,6,
249,誘いの緑地 诱惑的绿地,10,7,1,1c,2a,,
249,誘いの緑地 诱惑的绿地,11,12,9,1c,2a,,
249,誘いの緑地 诱惑的绿地,12,1,d,1c,2a,,
249,誘いの緑地 诱惑的绿地,13,13,8,8(宝物堆),13a,1,
249,誘いの緑地 诱惑的绿地,14,2,6,8(宝物堆),d4,3,
249,誘いの緑地 诱惑的绿地,15,8,11,8(宝物堆),130,1,
249,誘いの緑地 诱惑的绿地,16,11,12,8(宝物堆),d3,1,
249,誘いの緑地 诱惑的绿地,17,7,6,17(陷阱),2,,
249,誘いの緑地 诱惑的绿地,18,d,6,11,2,,
249,誘いの緑地 诱惑的绿地,19,9,d,17(陷阱),2,,
249,誘いの緑地 诱惑的绿地,20,f,e,13,2,,
249,誘いの緑地 诱惑的绿地,21,5,a,13,2,,
249,誘いの緑地 诱惑的绿地,22,d,c,f(治愈点),,,
249,誘いの緑地 诱惑的绿地,23,d,c,10,,,
249,誘いの緑地 诱惑的绿地,24,8,a,f(治愈点),,,
24a,荒原を臨む狩場 临荒原的狩猎场,0,7,3,5(刷怪旋涡),3,10,
24a,荒原を臨む狩場 临荒原的狩猎场,1,9,3,5(刷怪旋涡),3,10,
24a,荒原を臨む狩場 临荒原的狩猎场,2,3,7,5(刷怪旋涡),4,c,
24a,荒原を臨む狩場 临荒原的狩猎场,3,3,9,5(刷怪旋涡),4,c,
24a,荒原を臨む狩場 临荒原的狩猎场,4,d,7,5(刷怪旋涡),4,c,
24a,荒原を臨む狩場 临荒原的狩猎场,5,d,9,5(刷怪旋涡),4,c,
24a,荒原を臨む狩場 临荒原的狩猎场,6,7,d,5(刷怪旋涡),3,10,
24a,荒原を臨む狩場 临荒原的狩猎场,7,9,d,5(刷怪旋涡),3,10,
24a,荒原を臨む狩場 临荒原的狩猎场,8,4,4,5(刷怪旋涡),6,8,
24a,荒原を臨む狩場 临荒原的狩猎场,9,c,c,5(刷怪旋涡),6,8,
24a,荒原を臨む狩場 临荒原的狩猎场,10,e,2,1f(采集点),50,5,
24a,荒原を臨む狩場 临荒原的狩猎场,11,2,e,1f(采集点),50,4,
24a,荒原を臨む狩場 临荒原的狩猎场,12,5,5,20(挖掘点),50,6,
24a,荒原を臨む狩場 临荒原的狩猎场,13,b,b,20(挖掘点),50,7,
24a,荒原を臨む狩場 临荒原的狩猎场,14,f,1,1c,2a,,
24a,荒原を臨む狩場 临荒原的狩猎场,15,b,5,1c,2a,,
24a,荒原を臨む狩場 临荒原的狩猎场,16,5,b,1c,2a,,
24a,荒原を臨む狩場 临荒原的狩猎场,17,1,f,1c,2a,,
24a,荒原を臨む狩場 临荒原的狩猎场,18,2,2,7,b1a,1,
24a,荒原を臨む狩場 临荒原的狩猎场,19,e,e,7,b1b,1,
24a,荒原を臨む狩場 临荒原的狩猎场,20,6,4,8(宝物堆),d3,1,
24a,荒原を臨む狩場 临荒原的狩猎场,21,a,c,8(宝物堆),ce,3,
24a,荒原を臨む狩場 临荒原的狩猎场,22,b,1,17(陷阱),,,
24a,荒原を臨む狩場 临荒原的狩猎场,23,1,5,17(陷阱),,,
24a,荒原を臨む狩場 临荒原的狩猎场,24,f,b,17(陷阱),,,
24a,荒原を臨む狩場 临荒原的狩猎场,25,5,f,17(陷阱),,,
24b,狂飆荒む空洞 狂风肆虐的空洞,0,3,f,2(出击门),,,
24b,狂飆荒む空洞 狂风肆虐的空洞,1,b,14,2(出击门),,,
24b,狂飆荒む空洞 狂风肆虐的空洞,2,3,18,2(出击门),,,
24b,狂飆荒む空洞 狂风肆虐的空洞,3,a,8,1f(采集点),51,5,
24b,狂飆荒む空洞 狂风肆虐的空洞,4,5,13,1f(采集点),51,6,
24b,狂飆荒む空洞 狂风肆虐的空洞,5,2,6,20(挖掘点),51,7,
24b,狂飆荒む空洞 狂风肆虐的空洞,6,1,11,20(挖掘点),51,5,
24b,狂飆荒む空洞 狂风肆虐的空洞,7,c,1,1c,2a,,
24b,狂飆荒む空洞 狂风肆虐的空洞,8,1,5,1c,2a,,
24b,狂飆荒む空洞 狂风肆虐的空洞,9,a,b,1c,2a,,
24b,狂飆荒む空洞 狂风肆虐的空洞,10,c,c,1c,2a,,
24b,狂飆荒む空洞 狂风肆虐的空洞,11,8,11,1c,2a,,
24b,狂飆荒む空洞 狂风肆虐的空洞,12,7,d,7,b00,1,
24b,狂飆荒む空洞 狂风肆虐的空洞,13,1,19,7,b6a,1,
24b,狂飆荒む空洞 狂风肆虐的空洞,14,2,5,8(宝物堆),ce,3,
24b,狂飆荒む空洞 狂风肆虐的空洞,15,9,11,8(宝物堆),d3,1,
24b,狂飆荒む空洞 狂风肆虐的空洞,16,c,8,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,17,2,9,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,18,2,b,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,19,8,e,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,20,c,10,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,21,2,12,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,22,9,18,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,23,2,16,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,24,6,b,19,2,,
24b,狂飆荒む空洞 狂风肆虐的空洞,25,6,2,9,,,
26d,金緑石の枢 金绿石之枢,0,4,2,1c,,,
26d,金緑石の枢 金绿石之枢,1,2,3,1c,2c,,
26d,金緑石の枢 金绿石之枢,2,3,3,1c,2c,,
26d,金緑石の枢 金绿石之枢,3,4,3,1c,2c,,
26d,金緑石の枢 金绿石之枢,4,2,4,1c,2c,,
26d,金緑石の枢 金绿石之枢,5,3,4,1c,2c,,
26d,金緑石の枢 金绿石之枢,6,4,4,1c,2c,,
26e,縞瑪瑙の枢 条纹玛瑙之枢,0,4,3,1c,,,
26e,縞瑪瑙の枢 条纹玛瑙之枢,1,3,4,1c,2d,,
26f,緑柱石の枢 绿柱石之枢,0,4,3,1c,,,
26f,緑柱石の枢 绿柱石之枢,1,3,4,1c,2e,,
397,魅了斑の結界 魅惑斑纹的结界,0,d,3,5(刷怪旋涡),4,a,
397,魅了斑の結界 魅惑斑纹的结界,1,e,8,5(刷怪旋涡),3,c,
397,魅了斑の結界 魅惑斑纹的结界,2,d,d,5(刷怪旋涡),3,c,
397,魅了斑の結界 魅惑斑纹的结界,3,2,2,1c,28,,
397,魅了斑の結界 魅惑斑纹的结界,4,2,e,1c,28,,
397,魅了斑の結界 魅惑斑纹的结界,5,e,2,1c,28,,
397,魅了斑の結界 魅惑斑纹的结界,6,e,e,1c,28,,
397,魅了斑の結界 魅惑斑纹的结界,7,8,1,7,872,1,
397,魅了斑の結界 魅惑斑纹的结界,8,1,7,8(宝物堆),12e,1,
397,魅了斑の結界 魅惑斑纹的结界,9,1,9,8(宝物堆),ce,3,
397,魅了斑の結界 魅惑斑纹的结界,10,f,7,8(宝物堆),d5,3,
397,魅了斑の結界 魅惑斑纹的结界,11,f,9,8(宝物堆),131,1,
397,魅了斑の結界 魅惑斑纹的结界,12,7,1,10,,,
397,魅了斑の結界 魅惑斑纹的结界,13,7,3,10,,,
397,魅了斑の結界 魅惑斑纹的结界,14,8,2,10,,,
397,魅了斑の結界 魅惑斑纹的结界,15,9,1,10,,,
397,魅了斑の結界 魅惑斑纹的结界,16,9,3,10,,,
397,魅了斑の結界 魅惑斑纹的结界,17,8,8,10,,,
397,魅了斑の結界 魅惑斑纹的结界,18,a,5,17(陷阱),2,,
397,魅了斑の結界 魅惑斑纹的结界,19,b,6,17(陷阱),2,,
397,魅了斑の結界 魅惑斑纹的结界,20,5,a,17(陷阱),2,,
397,魅了斑の結界 魅惑斑纹的结界,21,6,b,17(陷阱),2,,
397,魅了斑の結界 魅惑斑纹的结界,22,6,5,18,2,,
397,魅了斑の結界 魅惑斑纹的结界,23,5,6,18,2,,
397,魅了斑の結界 魅惑斑纹的结界,24,b,a,18,2,,
397,魅了斑の結界 魅惑斑纹的结界,25,a,b,18,2,,
397,魅了斑の結界 魅惑斑纹的结界,26,8,e,1,1,,
398,月爛殿 月烂殿,0,9,e,5(刷怪旋涡),3,c,
398,月爛殿 月烂殿,1,2,e,1c,28,,
398,月爛殿 月烂殿,2,8,e,1c,28,,
398,月爛殿 月烂殿,3,2,11,1c,28,,
398,月爛殿 月烂殿,4,2,12,1c,28,,
398,月爛殿 月烂殿,5,2,13,1c,28,,
398,月爛殿 月烂殿,6,7,14,1c,28,,
398,月爛殿 月烂殿,7,2,5,8(宝物堆),d3,1,
398,月爛殿 月烂殿,8,2,6,8(宝物堆),d4,1,
398,月爛殿 月烂殿,9,2,7,8(宝物堆),130,1,
398,月爛殿 月烂殿,10,4,9,17(陷阱),2,,
398,月爛殿 月烂殿,11,5,9,17(陷阱),2,,
398,月爛殿 月烂殿,12,6,9,17(陷阱),2,,
398,月爛殿 月烂殿,13,4,11,17(陷阱),2,,
398,月爛殿 月烂殿,14,5,11,17(陷阱),2,,
398,月爛殿 月烂殿,15,6,11,17(陷阱),2,,
398,月爛殿 月烂殿,16,4,b,18,2,,
398,月爛殿 月烂殿,17,5,b,18,2,,
398,月爛殿 月烂殿,18,6,b,18,2,,
398,月爛殿 月烂殿,19,4,13,18,2,,
398,月爛殿 月烂殿,20,5,13,18,2,,
398,月爛殿 月烂殿,21,6,13,18,2,,
398,月爛殿 月烂殿,22,5,6,f(治愈点),,,
398,月爛殿 月烂殿,23,5,16,f(治愈点),,,
398,月爛殿 月烂殿,24,5,19,1,1,,
55,サンバグの葡萄宮 桑巴格葡萄宫,0,13,6,2(出击门),,,
55,サンバグの葡萄宮 桑巴格葡萄宫,1,7,2,5(刷怪旋涡),6,8,
55,サンバグの葡萄宮 桑巴格葡萄宫,2,7,10,5(刷怪旋涡),5,a,
55,サンバグの葡萄宮 桑巴格葡萄宫,3,e,e,5(刷怪旋涡),5,8,
55,サンバグの葡萄宮 桑巴格葡萄宫,4,e,3,5(刷怪旋涡),6,8,
55,サンバグの葡萄宮 桑巴格葡萄宫,5,9,4,20(挖掘点),40,6,
55,サンバグの葡萄宮 桑巴格葡萄宫,6,12,1,1f(采集点),40,7,
55,サンバグの葡萄宮 桑巴格葡萄宫,7,6,a,1f(采集点),40,5,
55,サンバグの葡萄宮 桑巴格葡萄宫,8,2,7,1f(采集点),40,7,
55,サンバグの葡萄宮 桑巴格葡萄宫,9,13,1,1f(采集点),40,6,
55,サンバグの葡萄宮 桑巴格葡萄宫,10,f,b,1f(采集点),40,5,
55,サンバグの葡萄宮 桑巴格葡萄宫,11,3,1,1c,2f,,
55,サンバグの葡萄宮 桑巴格葡萄宫,12,4,e,1c,2f,,
55,サンバグの葡萄宮 桑巴格葡萄宫,13,f,9,1c,2f,,
55,サンバグの葡萄宮 桑巴格葡萄宫,14,d,12,1c,2f,,
55,サンバグの葡萄宮 桑巴格葡萄宫,15,d,2,1c,2f,,
55,サンバグの葡萄宮 桑巴格葡萄宫,16,6,b,17(陷阱),2,,
55,サンバグの葡萄宮 桑巴格葡萄宫,17,1,5,18,2,,
55,サンバグの葡萄宮 桑巴格葡萄宫,18,12,9,18,2,,
55,サンバグの葡萄宮 桑巴格葡萄宫,19,e,6,19,2,,
55,サンバグの葡萄宮 桑巴格葡萄宫,20,a,12,7,b18,1,
55,サンバグの葡萄宮 桑巴格葡萄宫,21,1,a,8(宝物堆),d4,3,
55,サンバグの葡萄宮 桑巴格葡萄宫,22,13,a,8(宝物堆),d5,3,
55,サンバグの葡萄宮 桑巴格葡萄宫,23,f,5,8(宝物堆),ce,5,
55,サンバグの葡萄宮 桑巴格葡萄宫,24,7,4,8(宝物堆),e1,5,
55,サンバグの葡萄宮 桑巴格葡萄宫,25,a,3,9,,,
55,サンバグの葡萄宮 桑巴格葡萄宫,26,2,12,9,,,
55,サンバグの葡萄宮 桑巴格葡萄宫,27,12,12,9,,,
55,サンバグの葡萄宮 桑巴格葡萄宫,28,a,d,22,,,
55,サンバグの葡萄宮 桑巴格葡萄宫,29,4,5,f(治愈点),,,
55,サンバグの葡萄宮 桑巴格葡萄宫,30,d,f,f(治愈点),,,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,0,3,7,5(刷怪旋涡),4,8,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,1,7,3,5(刷怪旋涡),6,5,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,2,7,7,5(刷怪旋涡),5,6,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,3,1,9,5(刷怪旋涡),2,f,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,4,1,b,5(刷怪旋涡),3,a,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,5,9,9,5(刷怪旋涡),3,a,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,6,9,b,5(刷怪旋涡),2,f,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,7,5,5,5(刷怪旋涡),3,a,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,8,2,5,20(挖掘点),41,6,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,9,8,5,20(挖掘点),41,6,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,10,1,a,1f(采集点),41,5,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,11,9,a,1f(采集点),41,5,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,12,2,8,1c,2f,,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,13,8,8,1c,2f,,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,14,2,2,8(宝物堆),d4,3,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,15,8,2,8(宝物堆),d3,1,
56,葡萄宮の嘆刑殿 葡萄宫叹刑殿,16,5,7,f(治愈点),,,
259,ローゼン渓谷 罗森溪谷,0,1,5,5(刷怪旋涡),4,c,
259,ローゼン渓谷 罗森溪谷,1,1,7,5(刷怪旋涡),5,a,
259,ローゼン渓谷 罗森溪谷,2,c,2,5(刷怪旋涡),6,8,
259,ローゼン渓谷 罗森溪谷,3,2,1,1f(采集点),52,6,
259,ローゼン渓谷 罗森溪谷,4,4,8,1f(采集点),52,6,
259,ローゼン渓谷 罗森溪谷,5,d,5,1f(采集点),52,5,
259,ローゼン渓谷 罗森溪谷,6,11,4,20(挖掘点),52,5,
259,ローゼン渓谷 罗森溪谷,7,12,b,20(挖掘点),52,5,
259,ローゼン渓谷 罗森溪谷,8,b,1,1c,2b,,
259,ローゼン渓谷 罗森溪谷,9,8,6,1c,2b,,
259,ローゼン渓谷 罗森溪谷,10,1,8,1c,2b,,
259,ローゼン渓谷 罗森溪谷,11,14,1,1c,2b,,
259,ローゼン渓谷 罗森溪谷,12,1,2,8(宝物堆),13a,1,
259,ローゼン渓谷 罗森溪谷,13,9,9,8(宝物堆),132,1,
259,ローゼン渓谷 罗森溪谷,14,13,b,8(宝物堆),d2,3,
259,ローゼン渓谷 罗森溪谷,15,7,4,8(宝物堆),18c,2,
259,ローゼン渓谷 罗森溪谷,16,11,2,8(宝物堆),132,1,
259,ローゼン渓谷 罗森溪谷,17,b,6,f(治愈点),,,
259,ローゼン渓谷 罗森溪谷,18,b,6,10,,,
25a,虎伏の岬角 虎伏的岬角,0,a,8,5(刷怪旋涡),4,c,
25a,虎伏の岬角 虎伏的岬角,1,4,c,5(刷怪旋涡),,,
25a,虎伏の岬角 虎伏的岬角,2,a,c,5(刷怪旋涡),,,
25a,虎伏の岬角 虎伏的岬角,3,4,12,5(刷怪旋涡),,,
25a,虎伏の岬角 虎伏的岬角,4,a,12,5(刷怪旋涡),,,
25a,虎伏の岬角 虎伏的岬角,5,3,4,1f(采集点),53,5,
25a,虎伏の岬角 虎伏的岬角,6,9,3,1f(采集点),53,6,
25a,虎伏の岬角 虎伏的岬角,7,1,11,1f(采集点),53,6,
25a,虎伏の岬角 虎伏的岬角,8,1,d,20(挖掘点),53,6,
25a,虎伏の岬角 虎伏的岬角,9,9,d,20(挖掘点),53,5,
25a,虎伏の岬角 虎伏的岬角,10,1,3,1c,2b,,
25a,虎伏の岬角 虎伏的岬角,11,d,7,1c,2b,,
25a,虎伏の岬角 虎伏的岬角,12,8,9,1c,2b,,
25a,虎伏の岬角 虎伏的岬角,13,3,10,1c,2b,,
25a,虎伏の岬角 虎伏的岬角,14,d,3,7,119,3,
25a,虎伏の岬角 虎伏的岬角,15,1,7,8(宝物堆),ce,3,
25a,虎伏の岬角 虎伏的岬角,16,9,7,8(宝物堆),139,1,
25a,虎伏の岬角 虎伏的岬角,17,d,d,8(宝物堆),d3,1,
25a,虎伏の岬角 虎伏的岬角,18,8,1,8(宝物堆),18c,3,
25a,虎伏の岬角 虎伏的岬角,19,b,10,8(宝物堆),142,1,
25a,虎伏の岬角 虎伏的岬角,20,6,a,13,2,,
25a,虎伏の岬角 虎伏的岬角,21,7,a,13,2,,
25a,虎伏の岬角 虎伏的岬角,22,8,a,13,2,,
25a,虎伏の岬角 虎伏的岬角,23,7,8,f(治愈点),,,
25b,レリクイア遺跡 雷利奎亚遗迹,0,8,c,2a(破损的石碑),,,
25b,レリクイア遺跡 雷利奎亚遗迹,1,2,12,2a(破损的石碑),14,,
25b,レリクイア遺跡 雷利奎亚遗迹,2,e,12,2a(破损的石碑),14,,
25b,レリクイア遺跡 雷利奎亚遗迹,3,4,6,22,,,
25b,レリクイア遺跡 雷利奎亚遗迹,4,c,6,22,,,
25b,レリクイア遺跡 雷利奎亚遗迹,5,7,a,22,,,
25b,レリクイア遺跡 雷利奎亚遗迹,6,8,a,22,,,
25b,レリクイア遺跡 雷利奎亚遗迹,7,9,a,22,,,
25b,レリクイア遺跡 雷利奎亚遗迹,8,8,6,2(出击门),1,,
25b,レリクイア遺跡 雷利奎亚遗迹,9,5,5,1a,2,3,10
25b,レリクイア遺跡 雷利奎亚遗迹,10,b,5,1a,2,3,10
25b,レリクイア遺跡 雷利奎亚遗迹,11,2,c,1a,2,4,c
25b,レリクイア遺跡 雷利奎亚遗迹,12,e,c,1a,2,3,10
25b,レリクイア遺跡 雷利奎亚遗迹,13,5,11,1a,2,3,10
25b,レリクイア遺跡 雷利奎亚遗迹,14,f,5,20(挖掘点),54,6,
25b,レリクイア遺跡 雷利奎亚遗迹,15,b,14,20(挖掘点),54,6,
25b,レリクイア遺跡 雷利奎亚遗迹,16,2,16,20(挖掘点),54,5,
25b,レリクイア遺跡 雷利奎亚遗迹,17,1,d,1f(采集点),54,7,
25b,レリクイア遺跡 雷利奎亚遗迹,18,e,16,1f(采集点),54,6,
25b,レリクイア遺跡 雷利奎亚遗迹,19,3,5,1c,2b,,
25b,レリクイア遺跡 雷利奎亚遗迹,20,f,9,1c,2b,,
25b,レリクイア遺跡 雷利奎亚遗迹,21,f,15,1c,2b,,
25b,レリクイア遺跡 雷利奎亚遗迹,22,7,10,1c,2b,,
25b,レリクイア遺跡 雷利奎亚遗迹,23,e,4,8(宝物堆),139,2,
25b,レリクイア遺跡 雷利奎亚遗迹,24,1,9,8(宝物堆),138,2,
25b,レリクイア遺跡 雷利奎亚遗迹,25,b,e,8(宝物堆),d4,3,
25b,レリクイア遺跡 雷利奎亚遗迹,26,5,14,8(宝物堆),131,1,
25b,レリクイア遺跡 雷利奎亚遗迹,27,5,3,8(宝物堆),13a,1,
25b,レリクイア遺跡 雷利奎亚遗迹,28,b,3,8(宝物堆),13a,1,
25b,レリクイア遺跡 雷利奎亚遗迹,29,1,15,7,11f,3,
25b,レリクイア遺跡 雷利奎亚遗迹,30,8,10,f(治愈点),,,
25b,レリクイア遺跡 雷利奎亚遗迹,31,8,10,10,,,
25b,レリクイア遺跡 雷利奎亚遗迹,32,2,9,17(陷阱),2,,
25b,レリクイア遺跡 雷利奎亚遗迹,33,e,9,17(陷阱),2,,
25b,レリクイア遺跡 雷利奎亚遗迹,34,2,f,17(陷阱),2,,
25b,レリクイア遺跡 雷利奎亚遗迹,35,e,f,17(陷阱),2,,
25b,レリクイア遺跡 雷利奎亚遗迹,36,2,4,2(出击门),,,
25b,レリクイア遺跡 雷利奎亚遗迹,37,b,11,2(出击门),,,
25c,壮麗たる花園 壮丽的花园,0,1,7,5(刷怪旋涡),7,7,
25c,壮麗たる花園 壮丽的花园,1,11,2,5(刷怪旋涡),5,a,
25c,壮麗たる花園 壮丽的花园,2,8,10,5(刷怪旋涡),6,8,
25c,壮麗たる花園 壮丽的花园,3,11,f,5(刷怪旋涡),5,a,
25c,壮麗たる花園 壮丽的花园,4,1,1,20(挖掘点),55,6,
25c,壮麗たる花園 壮丽的花园,5,9,4,1f(采集点),55,5,
25c,壮麗たる花園 壮丽的花园,6,f,4,1f(采集点),55,8,
25c,壮麗たる花園 壮丽的花园,7,10,5,1f(采集点),55,7,
25c,壮麗たる花園 壮丽的花园,8,c,10,1f(采集点),55,6,
25c,壮麗たる花園 壮丽的花园,9,1,a,1f(采集点),55,6,
25c,壮麗たる花園 壮丽的花园,10,2,7,1c,2b,,
25c,壮麗たる花園 壮丽的花园,11,8,1,1c,2b,,
25c,壮麗たる花園 壮丽的花园,12,f,8,1c,2b,,
25c,壮麗たる花園 壮丽的花园,13,2,b,1c,2b,,
25c,壮麗たる花園 壮丽的花园,14,b,f,1c,2b,,
25c,壮麗たる花園 壮丽的花园,15,12,1,8(宝物堆),d4,3,
25c,壮麗たる花園 壮丽的花园,16,8,8,8(宝物堆),d3,1,
25c,壮麗たる花園 壮丽的花园,17,1,10,8(宝物堆),d5,3,
25c,壮麗たる花園 壮丽的花园,18,2,1,8(宝物堆),12d,3,
25c,壮麗たる花園 壮丽的花园,19,c,e,8(宝物堆),12d,3,
25c,壮麗たる花園 壮丽的花园,20,10,3,f(治愈点),,,
25c,壮麗たる花園 壮丽的花园,21,10,3,10,,,
399,壮麗たる花園 壮丽的花园,0,1,7,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,1,2,7,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,2,1,a,5(刷怪旋涡),6,8,
399,壮麗たる花園 壮丽的花园,3,2,a,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,4,2,10,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,5,10,1,5(刷怪旋涡),5,a,
399,壮麗たる花園 壮丽的花园,6,f,2,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,7,12,3,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,8,11,4,5(刷怪旋涡),5,a,
399,壮麗たる花園 壮丽的花园,9,c,6,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,10,8,8,5(刷怪旋涡),4,c,
399,壮麗たる花園 壮丽的花园,11,8,10,5(刷怪旋涡),3,10,
399,壮麗たる花園 壮丽的花园,12,11,f,5(刷怪旋涡),5,a,
1,遺跡地下の調査区域 遗迹地下的调查区域,0,3,7,f(治愈点),,,
1,遺跡地下の調査区域 遗迹地下的调查区域,1,4,3,8(宝物堆),c9,2,
1,遺跡地下の調査区域 遗迹地下的调查区域,2,2,9,7,af1,1,
1,遺跡地下の調査区域 遗迹地下的调查区域,3,4,4,1f(采集点),3,5,
1,遺跡地下の調査区域 遗迹地下的调查区域,4,1,2,2a(破损的石碑),,,
1,遺跡地下の調査区域 遗迹地下的调查区域,5,4,5,2a(破损的石碑),,,
1,遺跡地下の調査区域 遗迹地下的调查区域,6,4,7,2a(破损的石碑),,,
2,調査区域の奥 调查区域的深处,0,6,7,f(治愈点),,,
b,堆積した砦路樹 堆积的城砦行道树,0,5,2,29(枯萎的嫩芽),,,
b,堆積した砦路樹 堆积的城砦行道树,1,1,8,29(枯萎的嫩芽),a,,
b,堆積した砦路樹 堆积的城砦行道树,2,3,9,29(枯萎的嫩芽),a,,
b,堆積した砦路樹 堆积的城砦行道树,3,7,7,29(枯萎的嫩芽),a,,
b,堆積した砦路樹 堆积的城砦行道树,4,5,7,2(出击门),,,
b,堆積した砦路樹 堆积的城砦行道树,5,6,6,8(宝物堆),ca,2,
b,堆積した砦路樹 堆积的城砦行道树,6,9,4,1f(采集点),2,4,
b,堆積した砦路樹 堆积的城砦行道树,7,1,2,1f(采集点),2,5,
b,堆積した砦路樹 堆积的城砦行道树,8,8,8,20(挖掘点),2,6,
b,堆積した砦路樹 堆积的城砦行道树,9,3,8,5(刷怪旋涡),6,7,
b,堆積した砦路樹 堆积的城砦行道树,10,3,3,1c,1,,
b,堆積した砦路樹 堆积的城砦行道树,11,4,6,f(治愈点),,,
b,堆積した砦路樹 堆积的城砦行道树,12,4,6,10,,,
b,堆積した砦路樹 堆积的城砦行道树,13,5,4,17(陷阱),2,,
b,堆積した砦路樹 堆积的城砦行道树,14,5,5,17(陷阱),2,,
b,堆積した砦路樹 堆积的城砦行道树,15,2,7,17(陷阱),2,,
b,堆積した砦路樹 堆积的城砦行道树,16,4,8,17(陷阱),2,,
b,堆積した砦路樹 堆积的城砦行道树,17,3,4,f(治愈点),,,
c,崩れた調査区域 崩塌的调查区域,0,8,5,7,1,,
c,崩れた調査区域 崩塌的调查区域,1,4,4,1f(采集点),4,6,
c,崩れた調査区域 崩塌的调查区域,2,6,8,20(挖掘点),3,6,
c,崩れた調査区域 崩塌的调查区域,3,7,7,2a(破损的石碑),14,,
c,崩れた調査区域 崩塌的调查区域,4,1,2,2a(破损的石碑),14,,
c,崩れた調査区域 崩塌的调查区域,5,4,5,2a(破损的石碑),14,,
c,崩れた調査区域 崩塌的调查区域,6,4,7,2a(破损的石碑),14,,
c,崩れた調査区域 崩塌的调查区域,7,3,7,f(治愈点),,,
c,崩れた調査区域 崩塌的调查区域,8,3,7,10,,,
c,崩れた調査区域 崩塌的调查区域,9,3,8,8(宝物堆),cc,1,
c,崩れた調査区域 崩塌的调查区域,10,5,8,f(治愈点),,,
c,崩れた調査区域 崩塌的调查区域,11,5,3,1f(采集点),4,6,
c,崩れた調査区域 崩塌的调查区域,12,8,1,8(宝物堆),cb,3,
d,魔物のいた調査区域 曾有魔物的调查区域,0,1,5,2(出击门),,,
d,魔物のいた調査区域 曾有魔物的调查区域,1,a,9,2(出击门),,,
d,魔物のいた調査区域 曾有魔物的调查区域,2,5,1,1f(采集点),3,6,
d,魔物のいた調査区域 曾有魔物的调查区域,3,9,5,1f(采集点),3,5,
d,魔物のいた調査区域 曾有魔物的调查区域,4,4,7,1f(采集点),3,4,
d,魔物のいた調査区域 曾有魔物的调查区域,5,9,9,5(刷怪旋涡),6,7,
d,魔物のいた調査区域 曾有魔物的调查区域,6,4,5,29(枯萎的嫩芽),a,,
d,魔物のいた調査区域 曾有魔物的调查区域,7,8,2,29(枯萎的嫩芽),a,,
d,魔物のいた調査区域 曾有魔物的调查区域,8,7,9,29(枯萎的嫩芽),a,,
d,魔物のいた調査区域 曾有魔物的调查区域,9,7,8,29(枯萎的嫩芽),a,,
d,魔物のいた調査区域 曾有魔物的调查区域,10,5,3,8(宝物堆),513,2,
d,魔物のいた調査区域 曾有魔物的调查区域,11,9,3,8(宝物堆),cc,3,
d,魔物のいた調査区域 曾有魔物的调查区域,12,8,9,f(治愈点),,,
