说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
アヴァロ:1:「そ、そうか」,SC3090,「这、这样啊」,SP2091,「这、这样啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうか。早く事態を落ち着けたいのに、竜族側の代表がいないんじゃ話が進められないな」,SC0190,「这样啊……。本想尽快平息事态，可龙族一方没有代表者，就没法谈下去了」,SC0190,「这样啊……。本想尽快平息事态，可龙族一方没有代表者，就没法谈下去了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうするか。ん？」,SC0190,「就这么办吧……。嗯？」,SC0190,「就这么办吧……。嗯？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうだな、これはもう一つの未来の話なんだが」,SC0160,「是啊，这是关于另一种未来的话题……」,SC0160,「是啊，这是关于另一种未来的话题……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうだな。もう別にそれはいいよ」,SC0160,「是啊。那件事就随它去吧」,SC0160,「是啊。那件事就随它去吧」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうでなくても道中の間で方法を探す時間ができる。それだけでも俺たちには有り難い」,SC0160,「即便不是如此，途中也能多出寻找方法的时间。仅凭这一点，对我们来说就很可贵了」,SC0160,「即便不是如此，途中也能多出寻找方法的时间。仅凭这一点，对我们来说就很可贵了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうなのか？」,SC0000,「是吗？」,SC2090,「是吗？」,SC2090,「是吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そっか」,SC0280,「是吗……」,SC2180,「是吗……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そっちが時間さえくれれば、になるけど。その通りだ」,SC0160,「前提是你们肯给我们时间，不过——正是如此」,SC0160,「前提是你们肯给我们时间，不过——正是如此」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「それじゃあお前は城砦のことがなくても、元々竜族の跡目争いの問題に関わるつもりだったのか？」,SC0190,「那么也就是说，就算没有城砦的事，你原本也打算插手龙族继承之争的问题吗？」,SC0190,「那么也就是说，就算没有城砦的事，你原本也打算插手龙族继承之争的问题吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「それじゃこれでお別れか。清々するな」,SC0190,「那么，就此别过吧。真是清爽」,SC0190,「那么，就此别过吧。真是清爽」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「それは、どうして？」,SC1680,「那是为什么？」,SC1740,「那是为什么？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「それは、まだインフルースの国民や諸国には、城砦の存在が<ruby>禁忌<rt>きんき</rt></ruby>だとバレていないからかな？」,SC0160,「那是不是因为，因夫鲁斯的国民和各国还没有发现城砦是禁忌之物呢？」,SC0160,「那是不是因为，因夫鲁斯的国民和各国还没有发现城砦是禁忌之物呢？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「それは世界の支配者様が決めた掟だ、破ることなんかできやしないんだろう」,SC0160,「那是世界统治者大人定下的戒律，你们根本不可能违抗吧」,SC0160,「那是世界统治者大人定下的戒律，你们根本不可能违抗吧」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「だけどな、ラウロソの為にというより、リシュ個人になら俺は手を貸すよ」,SC2120,「但是啊，与其说是为劳罗索，如果是为莉秀你个人，我愿意伸出援手」,SC2120,「但是啊，与其说是为劳罗索，如果是为莉秀你个人，我愿意伸出援手」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「だってさ、問題になっているのは『神の信仰を原動力とした兵器』なんだろ」,SC0160,「毕竟，成问题的是‘以神之信仰为动力的兵器’，对吧」,SC0160,「毕竟，成问题的是‘以神之信仰为动力的兵器’，对吧」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「つまり、お前は俺たちを利用していたんだな」,SC0190,「也就是说，你一直在利用我们」,SC0190,「也就是说，你一直在利用我们」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どういうことだ？」,SC0190,「什么意思？」,SC2060,「什么意思？」,SC2560,「什么意思？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どういう意味だ」,SC2130,「什么意思」,SC2190,「什么意思」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どうした？」,SC0100,「怎么了？」,SC0680,「怎么了？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どうしたんだ？」,SC0000,「怎么了？」,SC0190,「怎么了？」,SC0190,「怎么了？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どうして説明しなかった」,SC0190,「为什么不解释」,SC0190,「为什么不解释」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「どうだ、いたか？」,SC0190,「怎么样，找到了吗？」,SC0190,「怎么样，找到了吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「とりあえず、この階層には関わりのない仕掛けみたいだ。探索に戻ろう」,SC6780,「总之，这机关似乎和这一层没什么关系。回去继续探索吧」,SC6780,「总之，这机关似乎和这一层没什么关系。回去继续探索吧」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「なぁ、ガイダル」,SC0190,「喂，盖达鲁」,SC0190,「喂，盖达鲁」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「なるほど分かった。なら、切り離した上で『城砦の機能』を規定に反しないものに変えればいいんだよな？」,SC0160,「原来如此，我明白了。那么，在分离之后，把‘城砦的功能’改造成不违背规定的形态就行了吧？」,SC0160,「原来如此，我明白了。那么，在分离之后，把‘城砦的功能’改造成不违背规定的形态就行了吧？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「フィア」,SC0100,「菲亚」,SC2000,「菲亚」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「フィアがこの状態のままじゃマズいってのも、マーズテリアと本格的に戦うことでようやく分かった」,SC0160,「菲亚维持这种状态很危险这一点，也是在和马兹忒利亚真正交手后才终于明白的」,SC0160,「菲亚维持这种状态很危险这一点，也是在和马兹忒利亚真正交手后才终于明白的」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「フィアが城砦から切り離されれば、フィアにも城砦にも単体では問題なくなる。だよな？」,SC0160,「只要菲亚与城砦分离，两者单独来看就都不会有问题……。对吧？」,SC0160,「只要菲亚与城砦分离，两者单独来看就都不会有问题……。对吧？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「フィアには記憶がないってのは、話したよな」,SC0160,「菲亚没有记忆这件事，我说过吧」,SC0160,「菲亚没有记忆这件事，我说过吧」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「フィア？」,SC2620,「菲亚……？」,SC5920,「菲亚……？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「フィア」,SC0280,「菲亚……」,SC0680,「菲亚……」,SC2120,「菲亚……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「まぁそうなったら、被害がどれだけに及ぶのかとか、考えたくはないよな」,SC0160,「真到那一步的话……会造成多大的伤亡，我可真不想去想啊」,SC0160,「真到那一步的话……会造成多大的伤亡，我可真不想去想啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「まぁそれは置いておいて、ここからが本題だ」,SC0160,「好，那事先放一放，接下来才是正题」,SC0160,「好，那事先放一放，接下来才是正题」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「まだだ、まだ（行動は）終わらんよ」,SC6910,「还没呢，行动还没完哦」,SC6920,「还没呢，行动还没完哦」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ミクシュアナさん、アンタから考えて『軍事利用をしない城砦があることによるマーズテリアの利益』はあるか」,SC0160,「米克修亚娜，以你的立场来看，‘拥有一座不做军事利用的城砦’，对马兹忒利亚有什么好处吗」,SC0160,「米克修亚娜，以你的立场来看，‘拥有一座不做军事利用的城砦’，对马兹忒利亚有什么好处吗」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「もしこの交渉が失敗した場合、俺たちは抵抗し続ける。場合によってはこの悪夢の兵器を用いてでも戦わざるを得ない」,SC0160,「如果这场谈判失败，我们会继续抵抗。视情况而定，甚至不得不动用这噩梦般的兵器一战」,SC0160,「如果这场谈判失败，我们会继续抵抗。视情况而定，甚至不得不动用这噩梦般的兵器一战」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「やられち、まった。くそ、下手を打ったぜ。フィア、すまないっ」,$5$SC6320,「被打败了……可恶，是我失手了。菲亚，对不起……！」,SC6300,「被打败了……可恶，是我失手了。菲亚，对不起……！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「リシュはもう俺の大切な仲間だから。<ruby>磨<rt>みが</rt></ruby>いてきた技術で力になれるなら、それを嬉しく思う」,SC2120,「因为莉秀已经是我重要的伙伴了。若能用我打磨至今的技术帮上忙，我会很高兴」,SC2120,「因为莉秀已经是我重要的伙伴了。若能用我打磨至今的技术帮上忙，我会很高兴」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ん？　これは、祭壇か？」,$4$SC6870,「嗯？？这是祭坛吗？」,$4$SC6870,「嗯？？这是祭坛吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「俺たちが『フィアが死ぬ以外の解決方法』を見つけるまで、城砦の破壊を延期してくれ」,SC0160,「请你们将摧毁城砦的日期延后，直到我们找到‘除菲亚死去以外的解决方法’」,SC0160,「请你们将摧毁城砦的日期延后，直到我们找到‘除菲亚死去以外的解决方法’」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「俺たちが個人的な感情で抵抗していることは分かっている」,SC0160,「我知道，我们是在凭个人感情抵抗」,SC0160,「我知道，我们是在凭个人感情抵抗」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「俺はフィアを助けたい。今は早く先へ進みたいと思っている。だから」,SC0190,「我想救菲亚。现在只想尽快前进。所以……」,SC0190,「我想救菲亚。现在只想尽快前进。所以……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「解決方法によってはそうもならない」,SC0160,「根据解决方法的不同，倒也不一定是那样」,SC0160,「根据解决方法的不同，倒也不一定是那样」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「街を整備したり、暮らしを便利にする為の手助けならいくらでも力になる。そういう方法での協力ならなんの<ruby>躊躇<rt>ためら</rt></ruby>いもない」,SC2120,「修缮城镇、让生活变得更便利，这种忙我随时都能帮。用这种方式合作，我绝不会犹豫」,SC2120,「修缮城镇、让生活变得更便利，这种忙我随时都能帮。用这种方式合作，我绝不会犹豫」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「気色悪いことを言うな。鳥肌が立つ」,SC0190,「别说这种让人发毛的话。我都起鸡皮疙瘩了」,SC0190,「别说这种让人发毛的话。我都起鸡皮疙瘩了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「許可を通すのはお前じゃないだろ、ガイダル」,SC0190,「批准通行的不该是你吧，盖达鲁」,SC0190,「批准通行的不该是你吧，盖达鲁」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「協力関係を結ぼう。もちろん、期間を限定してくれても構わない」,SC0160,「让我们缔结合作关系吧。当然，你们限定期限也无妨」,SC0160,「让我们缔结合作关系吧。当然，你们限定期限也无妨」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「緊張するな」,SC6910,「别紧张啊」,SC6920,「别紧张啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「現実的に考えて起こりうる可能性の一つだよ」,SC0160,「那是基于现实考量、确实可能发生的可能性之一哦」,SC0160,「那是基于现实考量、确实可能发生的可能性之一哦」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「後ろに控えている赤い鎧の天使さんたちも、城砦に移り住むのか？」,SC0160,「身后那些穿着红色铠甲的天使们，也要搬进城砦吗？」,SC0160,「身后那些穿着红色铠甲的天使们，也要搬进城砦吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
